LAT;;;;;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258
LON;;;;;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232
ASL;;;;;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000
CITY;;;;;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;04;27;11;00;20.84;66.00;1015.80;0.00;2.00;58.72;513.53;6.48;180.00
2019;04;27;12;00;22.12;62.00;1015.50;0.00;2.00;58.72;606.98;8.35;187.43
2019;04;27;13;00;23.10;58.00;1014.80;0.00;2.00;58.72;650.59;10.14;186.12
2019;04;27;14;00;25.35;49.00;1014.40;0.00;0.00;58.72;636.35;7.07;194.74
2019;04;27;15;00;25.75;47.00;1014.00;0.00;0.00;60.00;567.82;8.67;184.76
2019;04;27;16;00;25.41;49.00;1014.00;0.00;0.00;60.00;449.45;10.82;176.19
2019;04;27;17;00;24.18;56.00;1014.00;0.00;0.00;60.00;290.14;11.72;169.38
2019;04;27;18;00;22.13;66.00;1013.90;0.00;0.00;60.00;107.69;11.62;163.81
2019;04;27;19;00;20.32;74.00;1014.10;0.00;0.00;11.56;0.89;10.59;162.18
2019;04;27;20;00;19.30;80.00;1014.20;0.00;0.00;0.00;0.00;8.65;163.07
2019;04;27;21;00;18.64;84.00;1013.90;0.00;0.00;0.00;0.00;6.83;161.57
2019;04;27;22;00;18.44;84.00;1013.60;0.00;0.00;0.00;0.00;6.44;153.43
2019;04;27;23;00;18.45;84.00;1013.50;0.00;0.00;0.00;0.00;5.90;142.43
2019;04;28;00;00;18.18;85.00;1013.50;0.00;0.00;0.00;0.00;5.60;135.00
2019;04;28;01;00;17.78;88.00;1013.20;0.00;0.00;0.00;0.00;4.61;128.66
2019;04;28;02;00;17.13;91.00;1013.10;0.00;0.00;0.00;0.00;3.55;113.96
2019;04;28;03;00;16.60;94.00;1013.40;0.00;0.00;0.00;0.00;2.52;90.00
2019;04;28;04;00;16.20;95.00;1013.20;0.00;24.00;0.00;0.00;2.55;45.00
2019;04;28;05;00;15.87;95.00;1012.90;0.00;46.00;0.00;0.00;3.55;23.96
2019;04;28;06;00;15.64;94.00;1013.10;0.00;61.00;0.00;0.00;4.45;14.04
2019;04;28;07;00;15.42;92.00;1013.30;0.00;77.00;0.00;0.00;5.45;7.59
2019;04;28;08;00;15.17;91.00;1013.60;0.00;93.00;7.74;28.48;6.48;360.00
2019;04;28;09;00;16.47;82.00;1013.80;0.00;95.00;0.64;196.69;5.59;345.07
2019;04;28;10;00;18.78;70.00;1014.00;0.00;89.00;0.00;371.13;6.70;323.75
2019;04;28;11;00;20.18;62.00;1014.00;0.00;77.00;3.19;510.86;7.41;299.05
2019;04;28;12;00;21.23;59.00;1013.80;0.00;99.00;10.85;602.53;9.45;287.74
2019;04;28;13;00;21.79;57.00;1013.70;0.00;100.00;0.00;640.80;10.66;281.69
